account,name,part_number,manufacturer,description,list_price,list_price_unit,is_taxable,is_package
1,GCS900 Single MS992 Kit,59701-22-OCI,Trimble,Includes: Glonass & Full RTK Option,15160,,TRUE,FALSE
1,GCS Generic Dozer Base Install Kit,74000-01,Trimble,,4300,,TRUE,FALSE
1,S6 Graduated Telescopic Prism Pole,55200-00,Trimble,,425,,TRUE,FALSE
1,8' Range Pole,5140-00-WOR,Trimble,,54.95,,TRUE,FALSE
1,TSC2 with SCS900 no radio,TSC231110,Trimble,,4995,,TRUE,FALSE
1,"S6 3"" Robotic Total Station",S6332200,Trimble,,28550,,TRUE,FALSE
1,8' tripod leg set,302612-04,Trimble,,385,,TRUE,FALSE
1,R8 GNSS Rover Kit 450-470,R8201-51-66,Trimble,"Includes: R8 Receiver (450-470MHz), 6"" Whip Antenna 425-475MHz, 9-pin to 9-pin Cable, Dual Battery Charger w/Power Supply, 2 Batteries & Case",23420,,TRUE,FALSE
1,DG511 w/Vertical Pole Assy,DG511-5,Trimble,,5390,,TRUE,FALSE
1,Installation,SUPP-INSTALL,Trimble,,2700,,TRUE,FALSE
1,GCS900 V10 Single Dozer Install Kit,59703-11,Trimble,,8100,,TRUE,FALSE
1,SPS Graduated Telescopic Prism Pole,55200-00,Trimble,,425,,TRUE,FALSE
1,Radio Antenna 900MHz Kit - SPS,56500-90,Trimble,,395,,TRUE,FALSE
1,Installation,SUPP-INSTALL,Trimble,,1700,,TRUE,FALSE
1,R6/R8 Transmit Upgrade 410-470MHz,52426-00,Trimble,,1500,,TRUE,FALSE
1,4.3m AS450 Exc. Bucket Y-Cable,58481-43,Trimble,4.3m,480,,TRUE,FALSE
1,VM430 Valve Module,80585-00,Trimble,,905,,TRUE,FALSE
1,SPS88X Glonass Option,IS60989-20,Trimble,,1000,,TRUE,FALSE
1,R6/R8 Transmit Upgrade 410-470MHz,52426-00,Trimble,,1500,,TRUE,FALSE
1,Ranger 500x w/SurveyPro & Bluetooth,ST2-SY5GMBB-SP,Trimble,"Includes: AC Charger, Rechargeable Powerboot Module, Hand Strap, Screen Protectors, (2) Stylus Pens, USB Cable, Soft Carrying Case, Software and Manuals",3799,,TRUE,FALSE
1,Optima Single Tilt Prism w/ Target,63-1010,Trimble,,215,,TRUE,FALSE
1,Apache Coiled Sensor to Panel Cable,ATI-024104,Trimble,,295,,TRUE,FALSE
1,"Cable - 3.0m, Car Battery to Hirose",572202326,Trimble,,125,,TRUE,FALSE
1,Apache HD Receiver Coil Cable,ATI-024104,Trimble,,295,,TRUE,FALSE
1,Phone Support,SUPP-PHNSPRT,Trimble,1 Year,1000,,TRUE,FALSE
1,LR410 Laser Receiver w/Case,LR410-1,Trimble,,1795,,TRUE,FALSE
1,Valve Module,VM420,Trimble,,905,,TRUE,FALSE
1,Shock Mount,AG-M4,Trimble,,495,,TRUE,FALSE
1,CB460 w/GCS Software,90460-00,Trimble,,6910,,TRUE,FALSE
1,Installation,SUPP-INSTALL,Trimble,,1200,,TRUE,FALSE
1,Installation and Training,SUPP-MCINSTALL,Trimble,,6000,,TRUE,FALSE
1,GCS Kom D65EX/PX-16 Base Kit v.2.1,74800-261,Trimble,,4850,,TRUE,FALSE
1,HPB/Rover Power/Data Y Cable,A-02195M,Trimble,,250,,TRUE,FALSE
1,Power Module,PM400,Trimble,,795,,TRUE,FALSE
1,HPB/Rover Power/Data Y Cable,A-02195M,Trimble,,250,,TRUE,FALSE
1,Texas Pink Glo Roll Flagging,TXPG,Trimble,,1.09,,TRUE,FALSE
1,Charger for New Style Recon Batt.,67101-02,Trimble,,50,,TRUE,FALSE
1,Carbon Fiber Snap Lock Rod w/ Grad.,5128-20-GT,Trimble,,351.95,,TRUE,FALSE
1,Installation,SUPP-INSTALL,Trimble,,4500,,TRUE,FALSE
1,SNR920 On-Machine 900Mhz Radio,97001-10,Trimble,Needs pt#98226-05 Adapter if going on a machine with old style SNR900/910.,3500,,TRUE,FALSE
1,TSC2 with SCS900 no radio,TSC236,Trimble,"Includes: TSC2 Data Collector w/SCS900 Software, Battery, Charger, USB Cable, & Soft Case",4995,,TRUE,FALSE
1,Tripod Adapter Quick Release,2130-01,Trimble,"5/8"" to Quick Release",49.95,,TRUE,FALSE
1,Training,SUPP-TRAIN3,Trimble,training,1750,,TRUE,FALSE
1,Installation,SUPP-INSTALL,Trimble,,500,,TRUE,FALSE
1,TSC2 Power Boot Module,53701-00,Trimble,,249,,TRUE,FALSE
1,SPS/TSC2 Robotic Accessory Kit,SPS1201,Trimble,,675,,TRUE,FALSE
1,Apache Battery/Power Cable,ATI-024012-15,Trimble,,106.25,,TRUE,FALSE
1,Trimble VX w/Survey Controller Bnd,SLSU-VX1004A,Trimble,"Bundle Includes: Trimble VX Spatial Station, TSC2 w/Survey Controller and Internal Radio, Data Cable, Data Collector Bracket, Robotic Target ID w/360 degree prism, Robotic Power Kit w/batteries and charger, Telescopic 2.6m rod, and Realworks Survey Standard Software",74990,,TRUE,FALSE
1,Power Rod for Robotic TS,P71560005MFT,Trimble,,495,,TRUE,FALSE
1,Apache Receiver Cable Straight 15',ATI-024013-15,Trimble,,146.5,,TRUE,FALSE
1,PCS ST400 Case (4),65600,Trimble,,190,,TRUE,FALSE
1,Super GradeMaster-6',SUPERGM6,Trimble,"Standard Features Include: 3 Point Hitch, Push or Pull Operation, End Plate - 14 inches tall x 26 inches deep, Rear Castor Axle with Sealed Bearings, Tires - 13.5 x 6.0, 3/8 inch Steel Construction, 2 1/2 x 4 inch Hydraulic Cylinder, Mast Mount for Laser Receiver, Solenoid Valve Mounting Plate",3545,,TRUE,FALSE
1,4x5x30 Blue Wire Flag,4530B,Trimble,,7.89,,TRUE,FALSE
1,SPS985 900Mhz Rover Receiver,81985-95,Trimble,,10500,,TRUE,FALSE
1,Cash Discount,SUPP-CASHDISC,Trimble,,-2315,,TRUE,FALSE
1,Aluminum Antenna Mast,71069-00,Trimble,,795,,TRUE,FALSE
1,MC Installation and Training,MC Install,Trimble,,3000,,TRUE,FALSE
1,Dual Danfoss Valve Cable,2114-2137,Trimble,,200,,TRUE,FALSE
1,Case 650/850K L/T Hydraulic Kit,0795-0070,Trimble,Dual Prop.,4895,,TRUE,FALSE
1,Shock Mount,AG-M4,Trimble,,495,,TRUE,FALSE
1,Sitevision Angled Mast Riser,71100-00,Trimble,,450,,TRUE,FALSE
1,Apache Bullseye 3+ Receiver Red,ATI-991340-02,Trimble,,1295,,TRUE,FALSE
1,GCS900 V10 Excavator Install Kit,59706-10,Trimble,,14500,,TRUE,FALSE
1,Trimble SPS880/850 GPS System,SUPP-SEPBANDR,Trimble,"Package Includes: SPS880 GNSS Rover, SPS850 GNSS Base Station, Zephyr Geodetic Model 2 Antenna, TSC2 Data Collector w/SCS900 Software, Bipod and Range pole, Data Transfer and Power Accessories. <br><br>MSRP: 49,500.00<br>**Package does not include Training**<br>**Special Package pricing",39500,,TRUE,FALSE
1,"GCS MG, Tracer Add on Package",0395-0880,Trimble,,850,,TRUE,FALSE
1,"Stylus, 2-Pack, LM80",REC-SSTYLUS,Trimble,,10,,TRUE,FALSE
1,GCS900 Dozer Install Kit,0395-9900,Trimble,,8700,,TRUE,FALSE
1,Training (1 day),SUPP-TRAIN2,Trimble,1 Day of Training (as needed),1500,,TRUE,FALSE
1,GCS900 Dual MS992 Kit,59701-32-OCI,Trimble,Includes: Glonass and Full RTK Options,25560,,TRUE,FALSE
1,SNR Machine Radio Kit,52368-10,Trimble,,4425,,TRUE,FALSE
1,"SPS Series, Robotic Power Kit",SPS1000,Trimble,"3 Batteries, Multi-Battery Holder, Charger w/Power Supply, & Case",1784,,TRUE,FALSE
1,Trimble SPS880/850 GPS System,SUPP-SEPBANDR,Trimble,"Package Includes: SPS880 GNSS Rover, SPS850 GNSS Base Station, Zephyr Geodetic Model 2 Antenna, TSC2 Data Collector w/SCS900 Software, Bipod and Range pole, Data Transfer and Power Accessories. <br><br>MSRP: 49,500.00<br>**Package does not include Training**<br>**Special Package pricing",39500,,TRUE,FALSE
1,Supplies,SUPP-Supplies,Trimble,,275,,TRUE,FALSE
1,Extended Warranty Trimble R8,EWR8,Trimble,,1030,,TRUE,FALSE
1,Tripod Elevating Base - Inches,408700-03,Trimble,,595,,TRUE,FALSE
1,CB460 w/GCS Software,90460-00,Trimble,,6750,,TRUE,FALSE
1,"8"" Snap In Pipe Target",728,Trimble,,50,,TRUE,FALSE
1,"TSC2 w/SC, Internal 2.4GHz Radio",TSC217,Trimble,"Includes: TSC2 Data Collector w/Survey Controller Software and Internal 2.4GHz Radio, Battery, Charger, USB Cable, & Soft Case",7695,,TRUE,FALSE
1,GCS Generic Dozer Base Install Kit,74000-01,Trimble,,5500,,TRUE,FALSE
1,SNR Machine Radio Kit,52368-10,Trimble,,4425,,TRUE,FALSE
1,SNR Machine Radio Kit,52368-10,Trimble,,4425,,TRUE,FALSE
1,Apache Solenoid Valve Cable,ATI-026040-15,Trimble,,106.25,,TRUE,FALSE
1,GCS900 V.10 Cab Kit Dual MS990,58922-20,Trimble,,41100,,TRUE,FALSE
1,Apache Control Box Mounting Bracket,ATI-950054,Trimble,,50,,TRUE,FALSE
1,"SPS Series, Robotic Power Kit",SPS1000,Trimble,"3 Batteries, Multi-Battery Holder, Charger w/Power Supply, & Case",1784,,TRUE,FALSE
1,Cable Kit Pilot Control VM420 Kit,0792-7860,Trimble,,295,,TRUE,FALSE
1,Radio Antenna 900MHz Kit - SPS,56500-90,Trimble,,395,,TRUE,FALSE
1,PILOT Propotional Hydraulic Valve,SLPV,Trimble,,2195,,TRUE,FALSE
1,SNR Machine Radio Kit,52368-10,Trimble,,4425,,TRUE,FALSE
1,GCS Generic Dozer Base Kit,74000-02,Trimble,,3800,,TRUE,FALSE
1,Apache Remote Override Switch,ATI-026016-10,Trimble,,295,,TRUE,FALSE
1,Radio Antenna 900MHz Kit - SPS,56500-90,Trimble,,395,,TRUE,FALSE
1,MC Installation and Training,MC Install,Trimble,,2500,,TRUE,FALSE
1,Zephyr Geodetic Model 2,55971-10,Trimble,,2995,,TRUE,FALSE
1,Apache Remote Override Switch,ATI-026016-10,Trimble,,295,,TRUE,FALSE
1,CrossCheck GPRS AT&T,52720-21,Trimble,,695,,TRUE,FALSE
1,CB460 w/GCS Software,90460-00,Trimble,,6750,,TRUE,FALSE
1,TerraModel Road Engineering Pack,0321-0400,Trimble,,4500,,TRUE,FALSE
1,"Cable- 5m, R-N to R-TNC Ant. Cable",51980,Trimble,900 Mhz Radio Antenna Cable. For use with SPSX50 & SNB900.,90,,TRUE,FALSE
1,Apache Control Box Mounting Bracket,ATI-950054,Trimble,,50,,TRUE,FALSE
1,Cable Dozer MS980/990 Coiled,0395-9450,Trimble,,595,,TRUE,FALSE
1,Apache Bullseye 5 (Yellow),ATI991370-09,Trimble,,1895,,TRUE,FALSE
1,DG511 w/RC501,DG511,Trimble,,4995,,TRUE,FALSE
1,Super GradeMaster-6',SUPERGM6,Trimble,"Standard Features Include: 3 Point Hitch, Push or Pull Operation, End Plate - 14 inches tall x 26 inches deep, Rear Castor Axle with Sealed Bearings, Tires - 13.5 x 6.0, 3/8 inch Steel Construction, 2 1/2 x 4 inch Hydraulic Cylinder, Mast Mount for Laser Receiver, Solenoid Valve Mounting Plate",3545,,TRUE,FALSE
1,SPS88X Glonass Option,IS60989-20,Trimble,,1000,,TRUE,FALSE
1,Installation,SUPP-INSTALL,Trimble,,3000,,TRUE,FALSE
1,GCS900 TR-Dozer Base Kit - CAT ARO,74100-01,Trimble,,682.5,,TRUE,FALSE
1,Trimble Business Center Survey Adv.,63610-11,Trimble,,1495,,TRUE,FALSE
1,Radio Antenna 900MHz Kit - SPS,56500-90,Trimble,,395,,TRUE,FALSE
1,GL722 Dual Grade w/Rem/CR600,GL722,Trimble,,6995,,TRUE,FALSE
1,Access Road Option License,SA-ROADS-01,Trimble,,1250,,TRUE,FALSE
1,AG GPS542 GNSS Base 900 Mhz,AG-90510-90,Trimble,,11995,,TRUE,FALSE
1,Tri-Max Standard Quick Clamp Tripod,90550,Trimble,,395,,TRUE,FALSE
1,Bipod & Range Pole GPS Kit,55201-00,Trimble,,525,,TRUE,FALSE
1,Apache Battery/Power Cable,ATI-024012-15,Trimble,,106.25,,TRUE,FALSE
1,Trimble SPS851 900MHz Base Station,91850-90-10,Trimble,,16180,,TRUE,FALSE
1,Option Key-MS9XX Glonass,96000-30,Trimble,,2000,,TRUE,FALSE
1,Excavator Stick Sensor Cable,0792-4410-190,Trimble,,290.67,,TRUE,FALSE
1,Dual MS992 Receiver Kit,59701-42,Trimble,,25400,,TRUE,FALSE
1,TSC3 w/Global 2.4Ghz Radio,TSC3372,Trimble,,7345,,TRUE,FALSE
1,CB25 Prop. Control Box w/o Display,CB25,Trimble,,1495,,TRUE,FALSE
1,TSC2 GPS Accessory Kit,56044-00,Trimble,TSC2 Pole Bracket & Lemo to 9-pin Data Cable,320,,TRUE,FALSE
1,Supplies,SUPP-Supplies,Trimble,,0,,TRUE,FALSE
1,CrossCheck GPRS AT&T,52720-21,Trimble,,695,,TRUE,FALSE
1,"Trimble ""Getting Started"" Bundle",SUPP-GSBUNDLE,Trimble,"Bundle Includes: GCS900 Version 10 Cab Kit (consisting of a CB430 display, 2 MS990 GNSS receivers, and 3 LB400 Lightbars), SPS880 GNSS Rover, SPS850 GNSS Base Station, Zephyr Geodetic Model 2 Antenna, TSC2 Data Collector w/SCS900 Software, Bipod and Range pole, Data Transfer and Power Accessories. <br><br>MSRP: 90,600.00<br><br>**Bundle Pricing does not include Installation and/or Training**<br>**Special Package pricing expires 9/22/07**",75600,,TRUE,FALSE
1,Installation,SUPP-INSTALL,Trimble,,84,,TRUE,FALSE
1,GCS900 V10 SR300 MG,59704-60,Trimble,,11500,,TRUE,FALSE
1,"Option-GCS900, CCS900, 3D, Auto",91040-80,Trimble,,14950,,TRUE,FALSE
1,5800 RTK Base Kit,58100-91-46,Trimble,,19500,,TRUE,FALSE
1,Geodimeter DB9 to Hirose Coil Cable,148-CGEOD600STRT,Trimble,,105,,TRUE,FALSE
1,SPS Backsight Target Kit,SPS4200,Trimble,,1520,,TRUE,FALSE
1,"TNC to TNC Antenna Cable, 10m",41300-10,Trimble,,180,,TRUE,FALSE
1,Bipod & Range Pole GPS Kit,55201-00,Trimble,,525,,TRUE,FALSE
1,Bipod & Range Pole GPS Kit,55201-00,Trimble,,525,,TRUE,FALSE
1,VM420 Valve Cable W/O Load Sense,0395-9610-150,Trimble,,295,,TRUE,FALSE
1,CB460 w/GCS Software,90460-00,Trimble,,6750,,TRUE,FALSE
1,Trimble MultiTrack Target,MT1000,Trimble,Includes: 7.4V Li-ion Battery,2795,,TRUE,FALSE
1,TSC2 w/Survey Controller,TSC216,Trimble,"Includes: TSC2 Data Collector w/Survey Controller Software, Battery, Charger, USB Cable, & Soft Case",5595,,TRUE,FALSE
1,Installation,SUPP-INSTALL,Trimble,,1700,,TRUE,FALSE
1,Discount - Rover with TSCe,48811-00,Trimble,,-2500,,TRUE,FALSE
1,TSC3 Pole Bracket,72758-00,Trimble,,175,,TRUE,FALSE
1,SPS88X Glonass Option,IS60989-20,Trimble,,1000,,TRUE,FALSE
1,Zephyr Model 2-L1/L2/L5/G1/G2 Geod.,57971-10,Trimble,,2995,,TRUE,FALSE
1,Apache CB26 Automatic Control Panel,ATI-992600-09,Trimble,,1495,,TRUE,FALSE
1,SPS88X Glonass Option,IS60989-20,Trimble,,1000,,TRUE,FALSE
1,Excavator Cable 6 pin Armored 1.5m,0793-8020-15,Trimble,,350,,TRUE,FALSE
1,Training,SUPP-TRAIN3,Trimble,training,1750,,TRUE,FALSE
1,Apache CB26 Automatic Control Panel,ATI-992600-09,Trimble,,1495,,TRUE,FALSE
1,TSC2/S6 Robotic Accessory Kit,56045-00,Trimble,"Includes: 6-pin Hirose to 9-pin Data Cable, TSC2 Pole Bracket, & 6-pin to PC USB",425,,TRUE,FALSE
1,SNR Machine Radio Kit,52368-10,Trimble,,4425,,TRUE,FALSE
1,S6 Robotic Target Kit w/Target ID,SLSU-S2003,Trimble,Includes: 360 Prism w/Target ID,1390,,TRUE,FALSE
1,Valve Module,VM410,Trimble,,905,,TRUE,FALSE
1,SiteVision Office V.6.21,43420-11,Trimble,,1995,,TRUE,FALSE
1,Level Book,E64-64,Trimble,,7,,TRUE,FALSE
1,"Option-GCS900, CCS900, 3D, Auto",91040-80,Trimble,,15110,,TRUE,FALSE
1,GCS John Deere GP MG Base Kit (IGC),74205-02,Trimble,,3900,,TRUE,FALSE
1,Radio Adt. 8pin Baby to 26soc Bay,98226-05,Trimble,Converts previous SNR910/900 cable to work for SNR920.,300,,TRUE,FALSE
1,Apache CB52 Coiled Sensor Cable,ATI-026045,Trimble,,245,,TRUE,FALSE
1,GCS900 Cab Kit MS990,58922-20,Trimble,,41100,,TRUE,FALSE
1,SNR Radio Aqua Mount Hardware Kit,64333-00,Trimble,,400,,TRUE,FALSE
1,TSC2 w/SCS900 Internal Radio,TSC237,Trimble,"Includes: TSC2 Data Collector w/SCS900 Software and Internal 2.4GHz Radio, Battery, Charger, USB Cable, & Soft Case",6795,,TRUE,FALSE
1,TSC2 w/Survey Controller,TSC216,Trimble,"Includes: TSC2 Data Collector w/Survey Controller Software, Battery, Charger, USB Cable, & Soft Case",5595,,TRUE,FALSE
1,UPG50900-22,SUPP-50900-22,Trimble,Upgrade SCS900 Road Module for Data Collector,1000,,TRUE,FALSE
1,Accugrade CB450 Control Box,90450-50,Trimble,,2000,,TRUE,FALSE
1,SNR Radio Aqua Mount Hardware Kit,64333-00,Trimble,,400,,TRUE,FALSE
1,300' Nyclad Steel Tape 10ths A End,82-30010A,Trimble,,135,,TRUE,FALSE
1,Upgrade-SPS882 to Precision Rover,IS50989-12,Trimble,,4600,,TRUE,FALSE
1,TSC3 Pole Bracket,72758-00,Trimble,,175,,TRUE,FALSE
1,Installation Hoses and Brackets,SUPP-HOSEBKT,Trimble,,500,,TRUE,FALSE
1,GCS900 V10 Auto Option,59702-20,Trimble,,3200,,TRUE,FALSE
1,"Cable- 5m, R-N to R-TNC Ant. Cable",51980,Trimble,900 Mhz Radio Antenna Cable. For use with SPSX50 & SNB900.,90,,TRUE,FALSE
1,GCS900 TR-Dual Dozer Install,74703-10,Trimble,,3600,,TRUE,FALSE
1,Installation,SUPP-INSTALL,Trimble,,1100,,TRUE,FALSE
1,R6/R8 Transmit Upgrade 410-470MHz,52426-00,Trimble,,1500,,TRUE,FALSE
1,Training,SUPP-TRAIN3,Trimble,training,1500,,TRUE,FALSE
1,Heavy Duty Tall Tripod,60-ALW30,Trimble,,540,,TRUE,FALSE
1,SNB900 Base Station Radio Kit,51658-10,Trimble,,4000,,TRUE,FALSE
1,Apache CB26 Automatic Control Panel,ATI-992600-09,Trimble,,1495,,TRUE,FALSE
1,AgKit Single Control,AG-GCS300-00,Trimble,No Valve Module,2700,,TRUE,FALSE
1,Apache Solenoid Valve Cable,ATI-026040-15,Trimble,,106.25,,TRUE,FALSE
1,Apache Solenoid Valve Cable,ATI-026040-15,Trimble,,106.25,,TRUE,FALSE
1,Trade In,SUPP-TRADEIN,Trimble,,0,,TRUE,FALSE
1,Promotional Discount,SUPP-CASHDISC,Trimble,,-5275,,TRUE,FALSE
1,Zephyr Geodetic Model 2,55971-10,Trimble,,2995,,TRUE,FALSE
1,GradeMaster Pro-8',GMPRO8,Trimble,"Standard Features Include: 3 Point Hitch, Push or Pull Operation, End Plate - 19 inches tall x 37 inches deep, Rear Castor Axle with Sealed Bearings, Tires - 18.5 x 8.0, 1/2 inch Steel Construction, 2 1/2 x 4 inch Hydraulic Cylinder, Mast Mount for Laser Receiver, Solenoid Valve Mounting Plate",4695,,TRUE,FALSE
1,"8"" Hubs (50ct Bag)",8HUB,Trimble,,18,,TRUE,FALSE
1,TSC3 w/SCS900,TSC3362,Trimble,,5495,,TRUE,FALSE
1,Bipod & Range Pole GPS Kit,55201-00,Trimble,,525,,TRUE,FALSE
1,TSC2 with SCS900 no radio,TSC231110,Trimble,,4995,,TRUE,FALSE
1,TSC2 Range Pole Bracket,53705-00,Trimble,,175,,TRUE,FALSE
1,Power Module,PM400,Trimble,,795,,TRUE,FALSE
1,TSC2 GPS Accessory Kit,56044-00,Trimble,,320,,TRUE,FALSE
1,ST400 Sonic Tracer w/Case,59701-90,Trimble,,1760,,TRUE,FALSE
1,"Cable, Stick For Solid State Sensor",0792-4410-190,Trimble,,290,,TRUE,FALSE
1,Apache Battery/Power Cable 15',ATI-024012-15,Trimble,,106.25,,TRUE,FALSE
1,Apache Battery/Power Cable,ATI-024012-15,Trimble,,106.25,,TRUE,FALSE
1,PILOT Propotional Hydraulic Valve,SLPV,Trimble,,2195,,TRUE,FALSE
1,Valve Module,VM410,Trimble,,905,,TRUE,FALSE
1,GCS900 Cab Kit Dual MS990,58922-20,Trimble,,41100,,TRUE,FALSE
1,Glonass SPS55x/651/851,51951-20,Trimble,,1500,,TRUE,FALSE
1,Trimble GCS900 Lightbar,LB400,Trimble,,225,,TRUE,FALSE
1,HPB/Rover Power/Data Y Cable,A-02195M,Trimble,,250,,TRUE,FALSE
1,Supplies,SUPP-Supplies,Trimble,,265,,TRUE,FALSE
1,Apache Bullseye 5 (Yellow),ATI991370-09,Trimble,,1895,,TRUE,FALSE
1,GL720 Dual Grade Pkg  w/HR550,GL720,Trimble,,5295,,TRUE,FALSE
1,Trade In,SUPP-TRADEIN,Trimble,,-1000,,TRUE,FALSE
1,GCS900 Cab Kit Dual MS990,58922-20,Trimble,,41100,,TRUE,FALSE
1,Valve Module,VM410,Trimble,,905,,TRUE,FALSE
1,"DG511 Pipe Laser w/RC501, Alkaline",DG511-7,Trimble,"Includes: Remote (RC501), Case, Trivet, Small Target w/inserts",4360,,TRUE,FALSE
1,LR50 Trimble Laser Receiver,LR50-1,Trimble,,1895,,TRUE,FALSE
1,SPS88X Glonass Option,IS60989-20,Trimble,,1500,,TRUE,FALSE
1,Dual Danfoss Valve Cable,2114-2137,Trimble,,200,,TRUE,FALSE
1,Komatsu D65-15 Pilot Hydraulic Kit,0793-8640,Trimble,,4795,,TRUE,FALSE
1,TSC2 GPS Accessory Kit,56044-00,Trimble,TSC2 Pole Bracket & Lemo to 9-pin Data Cable,320,,TRUE,FALSE
1,GCS900 TR-Dozer Base Kit - CAT ARO,74100-01,Trimble,,682.5,,TRUE,FALSE
1,Accugrade 3D Automatics Option Key,92040-80,Trimble,,14950,,TRUE,FALSE
1,12m Exc. Angle Sensor Boom Cable,52142-12,Trimble,12m,250,,TRUE,FALSE
1,SPS985 900Mhz Rover Receiver,81985-95,Trimble,,10500,,TRUE,FALSE
1,Bipod & Range Pole GPS Kit,55201-00,Trimble,,525,,TRUE,FALSE
1,Glonass Option SPSX5X/88X/985,IS51951-20,Trimble,,1000,,TRUE,FALSE
1,SNB900 Base Station Radio Kit,51658-10,Trimble,,4000,,TRUE,FALSE
1,GCS900 V10 Auto Option,59702-20,Trimble,,3200,,TRUE,FALSE
1,GCS Generic MG Base Install Kit,74105-52,Trimble,,5550,,TRUE,FALSE
1,"5800/R8 ""Y"" Cable",50012,Trimble,,275,,TRUE,FALSE
1,GCS900 V10 Auto Option,59702-20,Trimble,,3200,,TRUE,FALSE
1,SPS88X Glonass Option,IS60989-20,Trimble,,1000,,TRUE,FALSE
1,12m Boom Cable for AS300,52142-12,Trimble,12m,310,,TRUE,FALSE
1,SPS88X Glonass Option,IS60989-20,Trimble,,1500,,TRUE,FALSE
1,SPS851 410-430 Mhz Base Receiver,91850-62,Trimble,,16180,,TRUE,FALSE
1,"SPS Series, Robotic Power Kit",SPS1000,Trimble,"3 Batteries, Multi-Battery Holder, Charger w/Power Supply, & Case",1784,,TRUE,FALSE
1,Bipod & Range Pole GPS Kit,55201-00,Trimble,,525,,TRUE,FALSE
1,Apache CB26 Automatic Control Panel,ATI-992600-09,Trimble,,1495,,TRUE,FALSE
1,MC Installation and Training,MC Install,Trimble,,3000,,TRUE,FALSE
1,Installation Brackets,SUPP-BRACKET,Trimble,,35,,TRUE,FALSE
1,BB1 Base Bracket,SUPP-BB1,Trimble,,50,,TRUE,FALSE
1,GL710 Single Grade Pkg w/HL700,GL710,Trimble,,4495,,TRUE,FALSE
1,GCS Excavator TR Install,74706-10,Trimble,AS450's/AS460,6200,,TRUE,FALSE
1,TSC2 Power Supply,53708-00,Trimble,,59,,TRUE,FALSE
1,"Excavator T-Cable, Type A",46736-90,Trimble,,300,,TRUE,FALSE
1,JD700J/700H Hydraulic Kit,0793-5760,Trimble,Daul Prop.,4895,,TRUE,FALSE
1,Installation,SUPP-INSTALL,Trimble,,2700,,TRUE,FALSE
